Datetime,Close,High,Low,Open,Volume
2025-03-13 16:00:00+00:00,80760.9140625,81198.6875,80719.5390625,81018.625,0
2025-03-13 17:00:00+00:00,79976.3671875,80808.0234375,79932.3515625,80808.0234375,480040960
2025-03-13 18:00:00+00:00,80788.4296875,80893.984375,80026.421875,80026.421875,563146752
2025-03-13 19:00:00+00:00,80251.234375,80948.859375,80148.3125,80768.6484375,0
2025-03-13 20:00:00+00:00,80332.5234375,80651.7421875,80147.9765625,80147.9765625,227926016
2025-03-13 21:00:00+00:00,80737.2578125,80815.7734375,80257.859375,80327.546875,144480256
2025-03-13 22:00:00+00:00,81337.1484375,81337.1484375,80732.109375,80732.109375,0
2025-03-13 23:00:00+00:00,81075.5234375,81435.0859375,81045.6640625,81348.5625,0
2025-03-14 00:00:00+00:00,81578.796875,81634.9765625,80835.484375,81090.296875,0
2025-03-14 01:00:00+00:00,81566.78125,81833.0078125,81231.40625,81471.5625,0
2025-03-14 02:00:00+00:00,82075.71875,82108.203125,81579.921875,81591.5859375,0
2025-03-14 03:00:00+00:00,81852.265625,82136.2578125,81742.734375,82136.2578125,0
2025-03-14 04:00:00+00:00,81944.296875,81997.3671875,81886.296875,81901.4921875,0
2025-03-14 05:00:00+00:00,82131.671875,82138.5,81821.1015625,81932.265625,0
2025-03-14 06:00:00+00:00,82012.125,82135.90625,81784.3828125,82135.90625,0
2025-03-14 07:00:00+00:00,82242.9140625,82426.1015625,81903.5703125,81992.8671875,0
2025-03-14 08:00:00+00:00,82581.1796875,82591.9375,82191.2421875,82191.2421875,0
2025-03-14 09:00:00+00:00,82778.734375,82888.765625,82579.65625,82590.21875,0
2025-03-14 10:00:00+00:00,83024.875,83228.0859375,82673.4765625,82789.4609375,0
2025-03-14 11:00:00+00:00,83294.6953125,83297.265625,82987.1953125,83053.21875,153321472
2025-03-14 12:00:00+00:00,83407.578125,83486.7421875,83085.265625,83224.4453125,0
2025-03-14 13:00:00+00:00,83581.6015625,83819.3828125,83181.109375,83416.9140625,0
2025-03-14 14:00:00+00:00,83446.1015625,83446.1015625,82682.328125,82971.2265625,494084096
2025-03-14 15:00:00+00:00,84746.7265625,85202.3125,83549.6484375,83549.6484375,2711707648
2025-03-14 16:00:00+00:00,84779.875,84884.5546875,84067.921875,84797.484375,479569920
2025-03-14 17:00:00+00:00,84346.9921875,84811.625,84232.2265625,84804.8359375,0
2025-03-14 18:00:00+00:00,84600.0078125,84650.234375,84247.5078125,84374.8125,0
2025-03-14 19:00:00+00:00,84609.84375,84912.21875,84483.1796875,84573.6171875,0
2025-03-14 20:00:00+00:00,84184.984375,84522.0078125,83792.546875,84522.0078125,381278208
2025-03-14 21:00:00+00:00,84204.203125,84292.796875,83977.3359375,84149.65625,0
2025-03-14 22:00:00+00:00,84438.4375,84510.6875,84126.71875,84222.9921875,303788032
2025-03-14 23:00:00+00:00,83979.75,84431.9296875,83979.75,84431.1796875,0
2025-03-15 00:00:00+00:00,84326.9765625,84341.5390625,83989.8046875,83989.8046875,0
2025-03-15 01:00:00+00:00,84352.7421875,84525.078125,84157.7578125,84311.375,0
2025-03-15 02:00:00+00:00,84567.4765625,84582.046875,84197.03125,84362.03125,0
2025-03-15 03:00:00+00:00,84468.109375,84672.671875,84447.109375,84565.578125,0
2025-03-15 04:00:00+00:00,84505.234375,84551.1875,84310.296875,84499.9921875,0
2025-03-15 05:00:00+00:00,84297.6875,84479.296875,84297.6875,84479.296875,0
2025-03-15 06:00:00+00:00,84188.578125,84306.765625,84185.921875,84280.75,0
2025-03-15 07:00:00+00:00,83839.515625,84185.1875,83826.9921875,84185.1875,66426880
2025-03-15 08:00:00+00:00,83888.1796875,83997.15625,83657.2890625,83862.0703125,43311104
2025-03-15 09:00:00+00:00,83947.3046875,83965.3046875,83737.5234375,83866.3828125,127668224
2025-03-15 10:00:00+00:00,83917.5,83962.0625,83716.2578125,83948.6484375,0
2025-03-15 11:00:00+00:00,84126.5625,84158.7578125,83904.421875,83921.0234375,0
2025-03-15 12:00:00+00:00,84139.5546875,84260.3203125,84043.65625,84061.34375,0
2025-03-15 13:00:00+00:00,84463.7578125,84472.65625,84141.0,84141.0,0
2025-03-15 14:00:00+00:00,84151.0390625,84445.6015625,84150.53125,84445.6015625,0
2025-03-15 15:00:00+00:00,84352.6640625,84388.65625,84155.3828125,84155.3828125,0
2025-03-15 16:00:00+00:00,84346.265625,84471.2421875,84196.3359375,84375.828125,0
2025-03-15 17:00:00+00:00,84414.0625,84477.4296875,84279.109375,84356.875,0
2025-03-15 18:00:00+00:00,84214.15625,84468.7734375,84166.875,84410.0234375,0
2025-03-15 19:00:00+00:00,84284.9609375,84290.703125,84132.34375,84217.21875,0
2025-03-15 20:00:00+00:00,84367.40625,84433.453125,84329.734375,84329.734375,0
2025-03-15 21:00:00+00:00,84398.9609375,84455.8671875,84243.375,84378.5859375,0
2025-03-15 22:00:00+00:00,84397.53125,84443.921875,84341.96875,84398.875,0
2025-03-15 23:00:00+00:00,84335.3984375,84414.828125,84297.3828125,84387.515625,0
2025-03-16 00:00:00+00:00,84268.40625,84356.4921875,84240.28125,84354.53125,0
2025-03-16 01:00:00+00:00,83923.203125,84274.0234375,83909.4375,84255.6171875,0
2025-03-16 02:00:00+00:00,83972.4375,84101.7265625,83771.9609375,83905.0234375,0
2025-03-16 03:00:00+00:00,84315.3984375,84345.296875,83921.3203125,83947.0546875,0
2025-03-16 04:00:00+00:00,84402.9140625,84402.9140625,84263.8046875,84333.21875,0
2025-03-16 05:00:00+00:00,84370.25,84408.8828125,84336.1015625,84397.6171875,35328000
2025-03-16 06:00:00+00:00,84248.8203125,84392.9453125,84248.8203125,84379.390625,0
2025-03-16 07:00:00+00:00,84268.8515625,84361.8203125,84012.796875,84240.984375,0
2025-03-16 08:00:00+00:00,84269.3984375,84312.59375,84176.71875,84282.625,0
2025-03-16 09:00:00+00:00,83906.2421875,84269.234375,83826.0625,84269.234375,0
2025-03-16 10:00:00+00:00,83695.0,84031.8828125,83695.0,83902.3046875,71579648
2025-03-16 11:00:00+00:00,82430.28125,83693.171875,82393.5703125,83693.171875,1121861632
2025-03-16 12:00:00+00:00,82785.9609375,82864.1875,82408.6484375,82408.6484375,554741760
2025-03-16 13:00:00+00:00,82571.0390625,83083.390625,82523.84375,82748.1328125,525875200
2025-03-16 14:00:00+00:00,83325.1015625,83325.1015625,82597.984375,82597.984375,0
2025-03-16 15:00:00+00:00,83346.25,83449.8671875,83053.3515625,83357.0234375,706557952
2025-03-16 16:00:00+00:00,83537.890625,84746.09375,83323.5390625,83323.5390625,2054155264
2025-03-16 17:00:00+00:00,83886.9296875,84036.9921875,83560.078125,83605.59375,991081472
2025-03-16 18:00:00+00:00,83656.34375,84023.3515625,83656.34375,83898.9921875,311980032
2025-03-16 19:00:00+00:00,83061.34375,83691.5546875,82805.671875,83663.5625,921208832
2025-03-16 20:00:00+00:00,83151.4375,83400.6640625,82983.734375,83093.25,405846016
2025-03-16 21:00:00+00:00,82736.6953125,83202.9140625,82721.9140625,83202.9140625,337106944
2025-03-16 22:00:00+00:00,82135.6796875,82801.65625,82135.6796875,82733.265625,784261120
2025-03-16 23:00:00+00:00,82602.9296875,82603.3125,82024.1015625,82104.7109375,916488192
2025-03-17 00:00:00+00:00,83053.0234375,83094.203125,82567.265625,82571.1484375,521535488
2025-03-17 01:00:00+00:00,83217.6328125,83331.1484375,82836.25,83046.9375,272859136
2025-03-17 02:00:00+00:00,83271.90625,83321.0546875,82996.46875,83224.78125,223537152
2025-03-17 03:00:00+00:00,83700.8125,83700.8125,83225.578125,83225.578125,672104448
2025-03-17 04:00:00+00:00,83582.8125,83828.5390625,83532.7421875,83682.2734375,197582848
2025-03-17 05:00:00+00:00,83154.734375,83586.796875,83154.734375,83586.796875,595490816
2025-03-17 06:00:00+00:00,83217.1328125,83271.359375,82711.8125,83133.5,479657984
2025-03-17 07:00:00+00:00,83521.328125,83568.6640625,83200.4140625,83200.4140625,426174464
2025-03-17 08:00:00+00:00,83583.2734375,83677.2578125,83227.2890625,83558.0078125,236101632
2025-03-17 09:00:00+00:00,83634.953125,83746.40625,83448.828125,83557.75,677154816
2025-03-17 10:00:00+00:00,83315.6796875,83665.6796875,83273.1875,83652.15625,154716160
2025-03-17 11:00:00+00:00,83574.890625,83646.84375,83233.0703125,83351.375,0
2025-03-17 12:00:00+00:00,83112.5,83656.25,83057.5546875,83656.25,864274432
2025-03-17 13:00:00+00:00,83026.0859375,83676.015625,82840.234375,83040.765625,422508544
2025-03-17 14:00:00+00:00,82930.125,83320.71875,82492.15625,83036.8046875,1223094272
2025-03-17 15:00:00+00:00,83540.578125,83671.8046875,82760.9296875,82915.171875,585633792
2025-03-17 16:00:00+00:00,83452.4921875,83811.2890625,83133.21875,83525.4453125,0
2025-03-17 17:00:00+00:00,84228.1796875,84298.578125,83401.5234375,83423.703125,479576064
2025-03-17 18:00:00+00:00,84517.3359375,84549.28125,84024.1953125,84177.640625,419952640
2025-03-17 19:00:00+00:00,84482.6953125,84708.28125,84334.8046875,84499.625,0
2025-03-17 20:00:00+00:00,83887.921875,84475.2734375,83887.921875,84475.2734375,0
2025-03-17 21:00:00+00:00,84076.0703125,84194.0,83898.46875,83947.5625,206561280
2025-03-17 22:00:00+00:00,84107.6328125,84214.8671875,84033.1640625,84085.515625,0
2025-03-17 23:00:00+00:00,84094.3515625,84119.625,83807.5390625,84077.203125,0
2025-03-18 00:00:00+00:00,83786.703125,84033.265625,83727.875,84033.265625,0
2025-03-18 01:00:00+00:00,83083.734375,83902.390625,83044.3515625,83799.546875,0
2025-03-18 02:00:00+00:00,83445.5,83475.9140625,83134.3984375,83164.0703125,185198592
2025-03-18 03:00:00+00:00,83120.5234375,83297.9609375,83007.6953125,83297.9609375,0
2025-03-18 04:00:00+00:00,82965.6015625,83182.1484375,82888.3984375,83134.6796875,14110720
2025-03-18 05:00:00+00:00,82981.3671875,83101.96875,82919.46875,82973.6171875,66367488
2025-03-18 06:00:00+00:00,82469.5234375,83022.0078125,82285.6484375,83006.1875,514953216
2025-03-18 07:00:00+00:00,83156.2734375,83174.6484375,82421.65625,82453.46875,554625024
2025-03-18 08:00:00+00:00,83248.1953125,83432.578125,83063.640625,83196.5546875,0
2025-03-18 09:00:00+00:00,82831.6171875,83347.9921875,82831.6171875,83271.6640625,154632192
2025-03-18 10:00:00+00:00,82744.7265625,82916.46875,82610.71875,82821.421875,252278784
2025-03-18 11:00:00+00:00,82590.125,82852.2265625,82524.484375,82824.8359375,0
2025-03-18 12:00:00+00:00,82376.7265625,82793.1953125,82373.46875,82552.625,0
2025-03-18 13:00:00+00:00,81241.859375,82446.0546875,81195.4765625,82426.2265625,627849216
2025-03-18 14:00:00+00:00,81799.0,81934.3203125,81197.75,81373.0234375,143249408
2025-03-18 15:00:00+00:00,81558.828125,82122.34375,81535.3828125,81750.765625,0
2025-03-18 16:00:00+00:00,81846.125,82077.6796875,81544.3359375,81581.9609375,0
2025-03-18 17:00:00+00:00,81379.7734375,81903.609375,81379.7734375,81842.6875,29644800
2025-03-18 18:00:00+00:00,81820.421875,81910.140625,81323.03125,81450.2109375,0
2025-03-18 19:00:00+00:00,82428.3515625,82428.3515625,81754.8046875,81837.7734375,0
2025-03-18 20:00:00+00:00,81996.4375,82315.4453125,81864.796875,82281.984375,196714496
2025-03-18 21:00:00+00:00,81987.9296875,82170.4453125,81943.9765625,82004.0078125,0
2025-03-18 22:00:00+00:00,82436.15625,82523.84375,81999.640625,81999.640625,740179968
2025-03-18 23:00:00+00:00,82717.046875,82784.3984375,82406.546875,82406.546875,39383040
